rows 85
cols 75
players 5
m ........%%%...................%%%%.....%....%............%%...........e....
m ..........%..%................%%%%..........%............%.................
m %%%.......%..%%................%%%%%%%......%............%%...%..........%%
m %..............%........%%......%%.%..%%....................%%......%..%%%%
m %%......................%%%%..%.............................%%......%...%%%
m %.................................%........................%%%.......%...%%
m %..........................%%%%...%........................%%%%......%..%%%
m %%..........%.........%......%%..%%..........%............%%%%%%%%%.....%%%
m ............%.%%%.......................%....%...........%%%%%%%%.......%%.
m ...............%....................%...%....%%..........%%%%%%%%........%.
m ...........................%%.........%..................%%%%%%%.......%...
m %%...............................%%......................%%.%%%%...........
m %%........................%%......%.........................%..%%..........
m .........................%%%.............................%.%.........%.%...
m ..%............%.........%%..........................%%.%..%...............
m %..%.....................%%%.........................%%%%........%%........
m %%%......%%...............%%....................%.%..%%%%.................%
m %%%%.....%....%............%%...........b............%%%...................
m %%%%..........%............%...........................%..%................
m .%%%%%%%......%............%%...%..........%%%%%.......%..%%...............
m ..%%.%..%%....................%%......%..%%%%%..............%........%%....
m %.............................%%......%...%%%%%......................%%%%..
m ....%........................%%%.......%...%%%.............................
m %...%........................%%%%......%..%%%%..........................%%%
m %..%%..........%............%%%%%%%%%.....%%%%%..........%.........%......%
m ..........%....%...........%%%%%%%%.......%%.............%.%%%.............
m ......%...%....%%..........%%%%%%%%........%................%..............
m ........%..................%%%%%%%.......%..............................%%.
m ...%%......................%%.%%%%...........%%............................
m ....%.........................%..%%..........%%........................%%..
m ...........................%.%.........%.%............................%%%..
m .......................%%.%..%.................%............%.........%%...
m .......................%%%%........%%........%..%.....................%%%..
m ..................%.%..%%%%.................%%%%......%%...............%%..
m ..........d............%%%...................%%%%.....%....%............%%.
m .........................%..%................%%%%..........%............%..
m ..%..........%%%%%.......%..%%................%%%%%%%......%............%%.
m %%......%..%%%%%..............%........%%......%%.%..%%....................
m %%......%...%%%%%......................%%%%..%.............................
m %%.......%...%%%.................................%........................%
m %%%......%..%%%%..........................%%%%...%........................%
m %%%%%%%.....%%%%%..........%.........%......%%..%%..........%............%%
m %%%%%.......%%.............%.%%%.......................%....%...........%%%
m %%%%%........%................%....................%...%....%%..........%%%
m %%%%.......%..............................%%.........%..................%%%
m %%%%...........%%...............................%%......................%%.
m %..%%..........%%........................%%......%.........................
m .........%.%............................%%%.............................%.%
m .................%............%.........%%..........................%%.%..%
m .....%%........%..%.....................%%%.........................%%%%...
m ..............%%%%......%%...............%%....................%.%..%%%%...
m ...............%%%%.....%....%............%%...........a............%%%....
m ...............%%%%..........%............%...........................%..%.
m ................%%%%%%%......%............%%...%..........%%%%%.......%..%%
m %........%%......%%.%..%%....................%%......%..%%%%%..............
m .........%%%%..%.............................%%......%...%%%%%.............
m ...................%........................%%%.......%...%%%..............
m ............%%%%...%........................%%%%......%..%%%%..............
m .......%......%%..%%..........%............%%%%%%%%%.....%%%%%..........%..
m %%.......................%....%...........%%%%%%%%.......%%.............%.%
m %....................%...%....%%..........%%%%%%%%........%................
m ............%%.........%..................%%%%%%%.......%..................
m ..................%%......................%%.%%%%...........%%.............
m ...........%%......%.........................%..%%..........%%.............
m ..........%%%.............................%.%.........%.%..................
m %.........%%..........................%%.%..%.................%............
m ..........%%%.........................%%%%........%%........%..%...........
m ...........%%....................%.%..%%%%.................%%%%......%%....
m ............%%...........c............%%%...................%%%%.....%....%
m ............%...........................%..%................%%%%..........%
m ............%%...%..........%%%%%.......%..%%................%%%%%%%......%
m ...............%%......%..%%%%%..............%........%%......%%.%..%%.....
m ...............%%......%...%%%%%......................%%%%..%..............
m ..............%%%.......%...%%%.................................%..........
m ..............%%%%......%..%%%%..........................%%%%...%..........
m %............%%%%%%%%%.....%%%%%..........%.........%......%%..%%..........
m %...........%%%%%%%%.......%%.............%.%%%.......................%....
m %%..........%%%%%%%%........%................%....................%...%....
m ............%%%%%%%.......%..............................%%.........%......
m ............%%.%%%%...........%%...............................%%..........
m ...............%..%%..........%%........................%%......%..........
m ............%.%.........%.%............................%%%.................
m ........%%.%..%.................%............%.........%%..................
m ........%%%%........%%........%..%.....................%%%.................
m ...%.%..%%%%.................%%%%......%%...............%%.................
